ID,Micro_Comm
252,Programming/Compiler_Design
253,Programming/Debugging
254,Programming/Debugging
255,Artificial_Intelligence/Machine_Learning
256,Artificial_Intelligence/Machine_Learning
257,Programming/Garbage_Collection
258,Programming/Garbage_Collection
259,Artificial_Intelligence/Theorem_Proving
260,Programming/Debugging
261,Networking/Routing
262,Encryption_and_Compression/Compression
263,Artificial_Intelligence/Machine_Learning
264,Artificial_Intelligence/Machine_Learning
265,Programming/Garbage_Collection
266,Programming/Garbage_Collection
267,Data_Structures__Algorithms_and_Theory/Logic
268,Data_Structures__Algorithms_and_Theory/Formal_Languages
269,Information_Retrieval/Retrieval
270,Artificial_Intelligence/Games_and_Search
271,Artificial_Intelligence/Robotics
272,Artificial_Intelligence/Machine_Learning
273,Artificial_Intelligence/Games_and_Search
274,Encryption_and_Compression/Encryption
275,Artificial_Intelligence/Machine_Learning
276,Artificial_Intelligence/Machine_Learning
277,Artificial_Intelligence/Machine_Learning
278,Artificial_Intelligence/Machine_Learning
279,Operating_Systems/Distributed
280,Operating_Systems/Memory_Management
281,Hardware_and_Architecture/VLSI
282,Programming/Logic
283,Programming/Semantics
284,Programming/Semantics
285,Networking/Routing
286,Networking/Routing
287,Human_Computer_Interaction/Graphics_and_Virtual_Reality
288,Artificial_Intelligence/Vision_and_Pattern_Recognition
289,Hardware_and_Architecture/Memory_Structures
290,Operating_Systems/Distributed
291,Operating_Systems/Memory_Management
292,Programming/Object_Oriented
293,Artificial_Intelligence/Expert_Systems
294,Artificial_Intelligence/Machine_Learning
295,Programming/Compiler_Design
296,Programming/Compiler_Design
297,Databases/Temporal
298,Human_Computer_Interaction/Interface_Design
299,Encryption_and_Compression/Compression
300,Programming/Compiler_Design
301,Hardware_and_Architecture/Input_Output_and_Storage
302,Hardware_and_Architecture/Input_Output_and_Storage
303,Programming/Software_Development
304,Programming/Object_Oriented
305,Artificial_Intelligence/Vision_and_Pattern_Recognition
306,Information_Retrieval/Retrieval
307,Encryption_and_Compression/Encryption
308,Encryption_and_Compression/Encryption
309,Programming/Compiler_Design
310,Programming/Compiler_Design
311,Operating_Systems/Distributed
312,Operating_Systems/Distributed
313,Operating_Systems/Memory_Management
314,Programming/Garbage_Collection
315,Data_Structures__Algorithms_and_Theory/Parallel
316,Artificial_Intelligence/Vision_and_Pattern_Recognition
317,Operating_Systems/Memory_Management
318,Operating_Systems/Memory_Management
319,Operating_Systems/Memory_Management
320,Operating_Systems/Distributed
321,Artificial_Intelligence/Robotics
322,Artificial_Intelligence/Robotics
323,Networking/Internet
324,Networking/Routing
325,Networking/Routing
326,Programming/Compiler_Design
327,Programming/Compiler_Design
328,Artificial_Intelligence/NLP
329,Information_Retrieval/Retrieval
330,Operating_Systems/Memory_Management
331,Data_Structures__Algorithms_and_Theory/Formal_Languages
332,Information_Retrieval/Filtering
333,Artificial_Intelligence/Agents
334,Artificial_Intelligence/Agents
335,Artificial_Intelligence/Machine_Learning
336,Artificial_Intelligence/Machine_Learning
337,Artificial_Intelligence/Data_Mining
338,Artificial_Intelligence/Data_Mining
339,Artificial_Intelligence/Machine_Learning
340,Artificial_Intelligence/Machine_Learning
341,Operating_Systems/Distributed
342,Operating_Systems/Memory_Management
343,Networking/Routing
344,Encryption_and_Compression/Compression
345,Data_Structures__Algorithms_and_Theory/Parallel
346,Data_Structures__Algorithms_and_Theory/Parallel
347,Databases/Relational
348,Databases/Relational
349,Programming/Debugging
350,Programming/Compiler_Design
351,Operating_Systems/Memory_Management
352,Operating_Systems/Memory_Management
353,Programming/Software_Development
354,Programming/Software_Development
355,Data_Structures__Algorithms_and_Theory/Logic
356,Operating_Systems/Distributed
357,Programming/Garbage_Collection
358,Databases/Object_Oriented
359,Information_Retrieval/Retrieval
360,Information_Retrieval/Digital_Library
361,Hardware_and_Architecture/VLSI
362,Hardware_and_Architecture/VLSI
363,Programming/Compiler_Design
364,Operating_Systems/Memory_Management
365,Artificial_Intelligence/Theorem_Proving
366,Artificial_Intelligence/Theorem_Proving
367,Artificial_Intelligence/Machine_Learning
368,Artificial_Intelligence/Machine_Learning
369,Artificial_Intelligence/Machine_Learning
370,Artificial_Intelligence/Machine_Learning
371,Operating_Systems/Memory_Management
372,Operating_Systems/Memory_Management
373,Artificial_Intelligence/Machine_Learning
374,Artificial_Intelligence/NLP
375,Artificial_Intelligence/Games_and_Search
376,Data_Structures__Algorithms_and_Theory/Randomized
377,Artificial_Intelligence/Agents
378,Artificial_Intelligence/Machine_Learning
379,Artificial_Intelligence/Machine_Learning
380,Artificial_Intelligence/Machine_Learning
381,Artificial_Intelligence/Planning
382,Encryption_and_Compression/Security
383,Networking/Internet
384,Operating_Systems/Distributed
385,Operating_Systems/Distributed
386,Artificial_Intelligence/Planning
387,Artificial_Intelligence/Agents
388,Operating_Systems/Distributed
389,Programming/Garbage_Collection
390,Artificial_Intelligence/Machine_Learning
391,Artificial_Intelligence/Data_Mining
392,Programming/Functional
393,Programming/Semantics
394,Operating_Systems/Memory_Management
395,Operating_Systems/Memory_Management
396,Operating_Systems/Memory_Management
397,Artificial_Intelligence/Machine_Learning
398,Encryption_and_Compression/Encryption
399,Encryption_and_Compression/Encryption
400,Artificial_Intelligence/Robotics
401,Artificial_Intelligence/Robotics
402,Artificial_Intelligence/Machine_Learning
403,Artificial_Intelligence/Knowledge_Representation
404,Programming/Java
405,Artificial_Intelligence/Theorem_Proving
406,Artificial_Intelligence/Machine_Learning
407,Artificial_Intelligence/Machine_Learning
408,Artificial_Intelligence/Machine_Learning
409,Artificial_Intelligence/Machine_Learning
410,Programming/Compiler_Design
411,Information_Retrieval/Filtering
412,Information_Retrieval/Retrieval
413,Data_Structures__Algorithms_and_Theory/Parallel
414,Data_Structures__Algorithms_and_Theory/Parallel
415,Human_Computer_Interaction/Graphics_and_Virtual_Reality
416,Artificial_Intelligence/Vision_and_Pattern_Recognition
417,Operating_Systems/Memory_Management
418,Programming/Software_Development
419,Artificial_Intelligence/Machine_Learning
420,Artificial_Intelligence/Machine_Learning
421,Databases/Deductive
422,Databases/Relational
423,Artificial_Intelligence/Theorem_Proving
424,Encryption_and_Compression/Encryption
425,Artificial_Intelligence/Agents
426,Encryption_and_Compression/Security
427,Networking/Protocols
428,Operating_Systems/Distributed
429,Programming/Object_Oriented
430,Programming/Functional
431,Programming/Functional
432,Data_Structures__Algorithms_and_Theory/Parallel
433,Hardware_and_Architecture/High_Performance_Computing
434,Data_Structures__Algorithms_and_Theory/Randomized
435,Data_Structures__Algorithms_and_Theory/Randomized
436,Operating_Systems/Distributed
437,Programming/Compiler_Design
438,Programming/Compiler_Design
439,Programming/Garbage_Collection
440,Artificial_Intelligence/Vision_and_Pattern_Recognition
441,Artificial_Intelligence/Vision_and_Pattern_Recognition
442,Artificial_Intelligence/Robotics
443,Artificial_Intelligence/Robotics
444,Artificial_Intelligence/Games_and_Search
445,Data_Structures__Algorithms_and_Theory/Computational_Complexity
446,Operating_Systems/Memory_Management
447,Programming/Object_Oriented
448,Artificial_Intelligence/Theorem_Proving
449,Programming/Object_Oriented
450,Information_Retrieval/Retrieval
451,Information_Retrieval/Retrieval
452,Programming/Compiler_Design
453,Programming/Compiler_Design
454,Programming/Compiler_Design
455,Artificial_Intelligence/Robotics
456,Artificial_Intelligence/Machine_Learning
457,Artificial_Intelligence/Machine_Learning
458,Artificial_Intelligence/Machine_Learning
459,Networking/Protocols
460,Networking/Routing
461,Data_Structures__Algorithms_and_Theory/Computational_Complexity
462,Data_Structures__Algorithms_and_Theory/Computational_Complexity
463,Artificial_Intelligence/Machine_Learning
464,Artificial_Intelligence/Machine_Learning
465,Human_Computer_Interaction/Cooperative
466,Operating_Systems/Distributed
467,Programming/Compiler_Design
468,Programming/Compiler_Design
469,Programming/Logic
470,Programming/Logic
471,Artificial_Intelligence/Machine_Learning
472,Artificial_Intelligence/Machine_Learning
473,Networking/Wireless
474,Networking/Protocols
475,Artificial_Intelligence/Robotics
476,Artificial_Intelligence/Robotics
477,Programming/Logic
478,Programming/Logic
479,Data_Structures__Algorithms_and_Theory/Parallel
480,Data_Structures__Algorithms_and_Theory/Parallel
481,Databases/Object_Oriented
482,Operating_Systems/Memory_Management
483,Programming/Compiler_Design
484,Artificial_Intelligence/Games_and_Search
485,Artificial_Intelligence/Games_and_Search
486,Operating_Systems/Memory_Management
487,Programming/Compiler_Design
488,Programming/Compiler_Design
489,Programming/Java
490,Operating_Systems/Realtime
491,Networking/Protocols
492,Programming/Garbage_Collection
493,Programming/Garbage_Collection
494,Encryption_and_Compression/Encryption
495,Encryption_and_Compression/Encryption
496,Networking/Protocols
497,Networking/Protocols
498,Artificial_Intelligence/Machine_Learning
499,Artificial_Intelligence/Machine_Learning
500,Human_Computer_Interaction/Wearable_Computers
501,Human_Computer_Interaction/Wearable_Computers
502,Programming/Compiler_Design
503,Programming/Functional
504,Artificial_Intelligence/Games_and_Search
505,Artificial_Intelligence/Games_and_Search
506,Artificial_Intelligence/Theorem_Proving
507,Encryption_and_Compression/Security
508,Data_Structures__Algorithms_and_Theory/Logic
509,Data_Structures__Algorithms_and_Theory/Logic
510,Programming/Java
511,Programming/Garbage_Collection
512,Operating_Systems/Memory_Management
513,Operating_Systems/Memory_Management
514,Operating_Systems/Memory_Management
515,Operating_Systems/Memory_Management
516,Information_Retrieval/Digital_Library
517,Networking/Protocols
518,Operating_Systems/Memory_Management
519,Operating_Systems/Memory_Management
520,Operating_Systems/Distributed
521,Operating_Systems/Distributed
522,Programming/Garbage_Collection
523,Artificial_Intelligence/Machine_Learning
524,Artificial_Intelligence/Machine_Learning
525,Artificial_Intelligence/NLP
526,Artificial_Intelligence/NLP
527,Programming/Logic
528,Programming/Logic
529,Programming/Compiler_Design
530,Programming/Functional
531,Artificial_Intelligence/Machine_Learning
532,Artificial_Intelligence/Machine_Learning
533,Artificial_Intelligence/Vision_and_Pattern_Recognition
534,Artificial_Intelligence/Vision_and_Pattern_Recognition
535,Data_Structures__Algorithms_and_Theory/Sorting
536,Data_Structures__Algorithms_and_Theory/Sorting
537,Programming/Software_Development
538,Programming/Software_Development
539,Programming/Java
540,Programming/Compiler_Design
541,Artificial_Intelligence/Agents
542,Artificial_Intelligence/Agents
543,Artificial_Intelligence/Vision_and_Pattern_Recognition
544,Artificial_Intelligence/Games_and_Search
545,Artificial_Intelligence/Planning
546,Programming/Object_Oriented
547,Programming/Object_Oriented
548,Networking/Protocols
549,Networking/Protocols
550,Operating_Systems/Memory_Management
551,Operating_Systems/Memory_Management
552,Programming/Object_Oriented
553,Artificial_Intelligence/Robotics
554,Artificial_Intelligence/Machine_Learning
555,Artificial_Intelligence/Games_and_Search
556,Hardware_and_Architecture/VLSI
557,Databases/Relational
558,Databases/Object_Oriented
559,Operating_Systems/Memory_Management
560,Operating_Systems/Distributed
561,Human_Computer_Interaction/Interface_Design
562,Human_Computer_Interaction/Interface_Design
563,Programming/Logic
564,Programming/Logic
565,Operating_Systems/Realtime
566,Data_Structures__Algorithms_and_Theory/Formal_Languages
567,Hardware_and_Architecture/Memory_Structures
568,Operating_Systems/Memory_Management
569,Encryption_and_Compression/Security
570,Encryption_and_Compression/Security
571,Human_Computer_Interaction/Multimedia
572,Human_Computer_Interaction/Multimedia
573,Artificial_Intelligence/Machine_Learning
574,Artificial_Intelligence/Machine_Learning
575,Databases/Object_Oriented
576,Operating_Systems/Distributed
577,Artificial_Intelligence/Machine_Learning
578,Networking/Protocols
579,Networking/Routing
580,Data_Structures__Algorithms_and_Theory/Parallel
581,Operating_Systems/Memory_Management
582,Operating_Systems/Memory_Management
583,Operating_Systems/Memory_Management
584,Artificial_Intelligence/Data_Mining
585,Artificial_Intelligence/Data_Mining
586,Information_Retrieval/Digital_Library
587,Artificial_Intelligence/Vision_and_Pattern_Recognition
588,Data_Structures__Algorithms_and_Theory/Hashing
589,Data_Structures__Algorithms_and_Theory/Randomized
590,Human_Computer_Interaction/Interface_Design
591,Artificial_Intelligence/Theorem_Proving
592,Artificial_Intelligence/Theorem_Proving
593,Artificial_Intelligence/Machine_Learning
594,Operating_Systems/Distributed
595,Operating_Systems/Realtime
596,Operating_Systems/Realtime
597,Artificial_Intelligence/Machine_Learning
598,Artificial_Intelligence/Machine_Learning
599,Data_Structures__Algorithms_and_Theory/Computational_Complexity
600,Data_Structures__Algorithms_and_Theory/Computational_Complexity
601,Artificial_Intelligence/Expert_Systems
602,Artificial_Intelligence/Machine_Learning
603,Artificial_Intelligence/Machine_Learning
604,Data_Structures__Algorithms_and_Theory/Randomized
605,Networking/Routing
606,Data_Structures__Algorithms_and_Theory/Sorting
607,Data_Structures__Algorithms_and_Theory/Sorting
608,Hardware_and_Architecture/Logic_Design
609,Hardware_and_Architecture/Logic_Design
610,Data_Structures__Algorithms_and_Theory/Formal_Languages
611,Data_Structures__Algorithms_and_Theory/Formal_Languages
612,Artificial_Intelligence/Machine_Learning
613,Artificial_Intelligence/Machine_Learning
614,Artificial_Intelligence/NLP
615,Artificial_Intelligence/NLP
616,Databases/Query_Evaluation
617,Artificial_Intelligence/Games_and_Search
618,Databases/Object_Oriented
619,Databases/Concurrency
620,Encryption_and_Compression/Encryption
621,Encryption_and_Compression/Encryption
622,Data_Structures__Algorithms_and_Theory/Logic
623,Data_Structures__Algorithms_and_Theory/Logic
624,Human_Computer_Interaction/Graphics_and_Virtual_Reality
625,Programming/Software_Development
626,Human_Computer_Interaction/Graphics_and_Virtual_Reality
627,Human_Computer_Interaction/Graphics_and_Virtual_Reality
628,Artificial_Intelligence/Machine_Learning
629,Artificial_Intelligence/Machine_Learning
630,Artificial_Intelligence/Robotics
631,Artificial_Intelligence/Robotics
632,Operating_Systems/Memory_Management
633,Data_Structures__Algorithms_and_Theory/Parallel
634,Programming/Compiler_Design
635,Human_Computer_Interaction/Graphics_and_Virtual_Reality
636,Human_Computer_Interaction/Graphics_and_Virtual_Reality
637,Artificial_Intelligence/NLP
638,Databases/Object_Oriented
639,Artificial_Intelligence/Machine_Learning
640,Artificial_Intelligence/Machine_Learning
641,Hardware_and_Architecture/High_Performance_Computing
642,Programming/Software_Development
643,Artificial_Intelligence/Planning
644,Data_Structures__Algorithms_and_Theory/Formal_Languages
645,Artificial_Intelligence/Speech
646,Artificial_Intelligence/Speech
647,Artificial_Intelligence/Machine_Learning
648,Artificial_Intelligence/Machine_Learning
649,Artificial_Intelligence/Machine_Learning
650,Operating_Systems/Distributed
651,Programming/Compiler_Design
652,Data_Structures__Algorithms_and_Theory/Parallel
653,Programming/Garbage_Collection
654,Programming/Garbage_Collection
655,Operating_Systems/Distributed
656,Operating_Systems/Distributed
657,Encryption_and_Compression/Encryption
658,Encryption_and_Compression/Encryption
659,Artificial_Intelligence/Machine_Learning
660,Artificial_Intelligence/Expert_Systems
661,Artificial_Intelligence/Machine_Learning
662,Artificial_Intelligence/Planning
663,Programming/Java
664,Hardware_and_Architecture/Logic_Design
665,Hardware_and_Architecture/Logic_Design
666,Artificial_Intelligence/NLP
667,Artificial_Intelligence/NLP
668,Human_Computer_Interaction/Interface_Design
669,Networking/Protocols
670,Artificial_Intelligence/Machine_Learning
671,Operating_Systems/Memory_Management
672,Operating_Systems/Distributed
673,Operating_Systems/Distributed
674,Operating_Systems/Distributed
675,Networking/Protocols
676,Artificial_Intelligence/Data_Mining
677,Artificial_Intelligence/Data_Mining
678,Hardware_and_Architecture/Logic_Design
679,Hardware_and_Architecture/Logic_Design
680,Operating_Systems/Memory_Management
681,Databases/Concurrency
682,Encryption_and_Compression/Compression
683,Encryption_and_Compression/Compression
684,Artificial_Intelligence/Theorem_Proving
685,Artificial_Intelligence/Theorem_Proving
686,Databases/Object_Oriented
687,Databases/Object_Oriented
688,Programming/Compiler_Design
689,Programming/Compiler_Design
690,Encryption_and_Compression/Encryption
691,Encryption_and_Compression/Encryption
692,Databases/Performance
693,Hardware_and_Architecture/Input_Output_and_Storage
694,Programming/Compiler_Design
695,Databases/Relational
696,Information_Retrieval/Digital_Library
697,Networking/Protocols
698,Networking/Protocols
699,Encryption_and_Compression/Compression
700,Programming/Object_Oriented
701,Operating_Systems/Memory_Management
702,Encryption_and_Compression/Compression
703,Programming/Software_Development
704,Operating_Systems/Distributed
705,Artificial_Intelligence/Vision_and_Pattern_Recognition
706,Hardware_and_Architecture/VLSI
707,Operating_Systems/Memory_Management
708,Data_Structures__Algorithms_and_Theory/Computational_Complexity
709,Operating_Systems/Distributed
710,Operating_Systems/Distributed
711,Human_Computer_Interaction/Multimedia
712,Human_Computer_Interaction/Multimedia
713,Artificial_Intelligence/Agents
714,Artificial_Intelligence/Agents
715,Artificial_Intelligence/Machine_Learning
716,Artificial_Intelligence/Machine_Learning
717,Operating_Systems/Memory_Management
718,Data_Structures__Algorithms_and_Theory/Computational_Complexity
719,Artificial_Intelligence/NLP
720,Artificial_Intelligence/Machine_Learning
721,Human_Computer_Interaction/Cooperative
722,Artificial_Intelligence/Machine_Learning
723,Artificial_Intelligence/Machine_Learning
724,Human_Computer_Interaction/Multimedia
725,Networking/Protocols
726,Encryption_and_Compression/Encryption
727,Encryption_and_Compression/Encryption
728,Artificial_Intelligence/Expert_Systems
729,Human_Computer_Interaction/Wearable_Computers
730,Artificial_Intelligence/Robotics
731,Artificial_Intelligence/Robotics
732,Programming/Functional
733,Programming/Semantics
734,Operating_Systems/Distributed
735,Operating_Systems/Distributed
736,Operating_Systems/Memory_Management
737,Networking/Protocols
738,Networking/Protocols
739,Hardware_and_Architecture/Logic_Design
740,Artificial_Intelligence/Knowledge_Representation
741,Hardware_and_Architecture/Memory_Structures
742,Hardware_and_Architecture/Memory_Structures
743,Networking/Protocols
744,Encryption_and_Compression/Security
745,Networking/Routing
746,Data_Structures__Algorithms_and_Theory/Randomized
747,Hardware_and_Architecture/Distributed_Architectures
748,Networking/Wireless
749,Programming/Garbage_Collection
750,Databases/Relational
751,Databases/Relational
752,Information_Retrieval/Retrieval
753,Artificial_Intelligence/Theorem_Proving
754,Programming/Functional
755,Databases/Object_Oriented
756,Programming/Garbage_Collection
757,Networking/Routing
758,Networking/Protocols
759,Artificial_Intelligence/Data_Mining
760,Data_Structures__Algorithms_and_Theory/Randomized
761,Encryption_and_Compression/Encryption
762,Hardware_and_Architecture/Microprogramming
763,Hardware_and_Architecture/Microprogramming
764,Artificial_Intelligence/Machine_Learning
765,Artificial_Intelligence/Robotics
766,Artificial_Intelligence/Robotics
767,Artificial_Intelligence/Robotics
768,Networking/Protocols
769,Programming/Functional
770,Programming/Object_Oriented
771,Operating_Systems/Fault_Tolerance
772,Artificial_Intelligence/Machine_Learning
773,Artificial_Intelligence/Machine_Learning
774,Human_Computer_Interaction/Multimedia
775,Databases/Object_Oriented
776,Encryption_and_Compression/Security
777,Artificial_Intelligence/Agents
778,Operating_Systems/Distributed
779,Programming/Software_Development
